,State,Opioid Dispensing Rate per 100,Year,my_state
30,New Jersey,60.1,2012,NJ
31,New Mexico,76.8,2012,NM
32,New York,51.8,2012,NY
33,North Carolina,98.6,2012,NC
34,North Dakota,62.1,2012,ND
35,Ohio,97.5,2012,OH
36,Oklahoma,127.4,2012,OK
37,Oregon,98.7,2012,OR
38,Pennsylvania,83.3,2012,PA
39,Rhode Island,83.2,2012,RI
40,South Carolina,104.0,2012,SC
41,South Dakota,60.1,2012,SD
42,Tennessee,136.1,2012,TN
43,Texas,73.4,2012,TX
44,Utah,84.5,2012,UT
45,Vermont,54.6,2012,VT
46,Virginia,79.6,2012,VA
47,Washington,78.7,2012,WA
48,West Virginia,136.9,2012,WV
49,Wisconsin,76.8,2012,WI
50,Wyoming,80.5,2012,WY
0,Alabama,142.4,2013,AL
1,Alaska,63.7,2013,AK
2,Arizona,80.4,2013,AZ
3,Arkansas,120.9,2013,AR
4,California,54.4,2013,CA
5,Colorado,71.2,2013,CO
6,Connecticut,67.4,2013,CT
7,Delaware,92.7,2013,DE
8,District of Columbia,41.1,2013,DC
9,Florida,73.5,2013,FL
10,Georgia,86.6,2013,GA
11,Hawaii,49.4,2013,HI
12,Idaho,89.2,2013,ID
13,Illinois,63.7,2013,IL
14,Indiana,106.3,2013,IN
15,Iowa,72.2,2013,IA
16,Kansas,88.7,2013,KS
17,Kentucky,111.7,2013,KY
18,Louisiana,112.4,2013,LA
19,Maine,85.9,2013,ME
20,Maryland,69.0,2013,MD
21,Massachusetts,63.0,2013,MA
22,Michigan,98.9,2013,MI
23,Minnesota,58.3,2013,MN
24,Mississippi,119.6,2013,MS
25,Missouri,93.3,2013,MO
26,Montana,84.2,2013,MT
27,Nebraska,71.3,2013,NE
28,Nevada,91.1,2013,NV
29,New Hampshire,82.0,2013,NH
30,New Jersey,58.3,2013,NJ
31,New Mexico,71.4,2013,NM
32,New York,46.7,2013,NY
33,North Carolina,96.7,2013,NC
34,North Dakota,60.1,2013,ND
35,Ohio,93.1,2013,OH
36,Oklahoma,123.3,2013,OK
37,Oregon,94.2,2013,OR
38,Pennsylvania,81.6,2013,PA
39,Rhode Island,76.9,2013,RI
40,South Carolina,103.0,2013,SC
41,South Dakota,60.6,2013,SD
42,Tennessee,127.1,2013,TN
43,Texas,70.0,2013,TX
44,Utah,82.1,2013,UT
45,Vermont,52.2,2013,VT
46,Virginia,76.6,2013,VA
47,Washington,75.2,2013,WA
48,West Virginia,129.0,2013,WV
49,Wisconsin,73.8,2013,WI
50,Wyoming,81.5,2013,WY
0,Alabama,135.2,2014,AL
1,Alaska,62.7,2014,AK
2,Arizona,79.7,2014,AZ
3,Arkansas,123.2,2014,AR
4,California,52.7,2014,CA
5,Colorado,69.6,2014,CO
6,Connecticut,66.0,2014,CT
7,Delaware,91.0,2014,DE
8,District of Columbia,40.1,2014,DC
9,Florida,71.4,2014,FL
10,Georgia,83.8,2014,GA
11,Hawaii,47.7,2014,HI
12,Idaho,87.4,2014,ID
13,Illinois,62.3,2014,IL
14,Indiana,96.7,2014,IN
15,Iowa,72.3,2014,IA
16,Kansas,86.5,2014,KS
17,Kentucky,110.0,2014,KY
18,Louisiana,108.9,2014,LA
19,Maine,82.4,2014,ME
20,Maryland,67.6,2014,MD
21,Massachusetts,59.6,2014,MA
22,Michigan,98.0,2014,MI
23,Minnesota,56.6,2014,MN
24,Mississippi,116.3,2014,MS
25,Missouri,90.7,2014,MO
26,Montana,80.1,2014,MT
27,Nebraska,70.1,2014,NE
28,Nevada,90.1,2014,NV
29,New Hampshire,79.6,2014,NH
30,New Jersey,57.2,2014,NJ
31,New Mexico,71.5,2014,NM
32,New York,43.9,2014,NY
33,North Carolina,93.7,2014,NC
34,North Dakota,58.1,2014,ND
35,Ohio,89.5,2014,OH
36,Oklahoma,110.9,2014,OK
37,Oregon,91.9,2014,OR
38,Pennsylvania,79.9,2014,PA
39,Rhode Island,72.8,2014,RI
40,South Carolina,101.3,2014,SC
41,South Dakota,61.7,2014,SD
42,Tennessee,121.3,2014,TN
43,Texas,67.0,2014,TX
44,Utah,78.8,2014,UT
45,Vermont,50.4,2014,VT
46,Virginia,73.5,2014,VA
47,Washington,74.2,2014,WA
48,West Virginia,126.4,2014,WV
49,Wisconsin,71.9,2014,WI
50,Wyoming,80.9,2014,WY
0,Alabama,125.0,2015,AL
1,Alaska,60.8,2015,AK
2,Arizona,75.5,2015,AZ
3,Arkansas,117.2,2015,AR
4,California,47.7,2015,CA
5,Colorado,65.1,2015,CO
6,Connecticut,62.3,2015,CT
7,Delaware,84.4,2015,DE
8,District of Columbia,35.7,2015,DC
9,Florida,67.1,2015,FL
10,Georgia,79.4,2015,GA
11,Hawaii,44.3,2015,HI
12,Idaho,81.9,2015,ID
13,Illinois,59.1,2015,IL
14,Indiana,89.1,2015,IN
15,Iowa,68.6,2015,IA
16,Kansas,80.5,2015,KS
17,Kentucky,102.6,2015,KY
18,Louisiana,100.4,2015,LA
19,Maine,76.5,2015,ME
20,Maryland,63.0,2015,MD
21,Massachusetts,54.0,2015,MA
22,Michigan,90.5,2015,MI
23,Minnesota,52.1,2015,MN
24,Mississippi,110.9,2015,MS
25,Missouri,84.5,2015,MO
26,Montana,73.3,2015,MT
27,Nebraska,65.5,2015,NE
28,Nevada,85.4,2015,NV
29,New Hampshire,74.8,2015,NH
30,New Jersey,56.0,2015,NJ
31,New Mexico,69.8,2015,NM
32,New York,45.1,2015,NY
33,North Carolina,88.4,2015,NC
34,North Dakota,53.0,2015,ND
35,Ohio,82.7,2015,OH
36,Oklahoma,104.4,2015,OK
37,Oregon,84.2,2015,OR
